step,episode,current_rate,drop_pct,peak_rate,incident_id
17055,7198,0.36,22.0,0.58,8
17057,7199,0.36,22.0,0.58,8
17061,7200,0.36,22.0,0.58,8
17063,7201,0.35,23.0,0.58,8
17065,7202,0.35,23.0,0.58,8
17066,7203,0.36,22.0,0.58,8
17068,7204,0.36,22.0,0.58,8
17070,7205,0.37,21.0,0.58,8
17071,7206,0.37,21.0,0.58,8
17073,7207,0.37,21.0,0.58,8
17170,7252,0.37,21.0,0.58,9
17173,7253,0.36,22.0,0.58,9
17174,7254,0.36,22.0,0.58,9
17178,7255,0.36,22.0,0.58,9
17179,7256,0.35,23.0,0.58,9
17180,7257,0.35,23.0,0.58,9
17182,7258,0.34,24.0,0.58,9
17184,7259,0.33,25.0,0.58,9
17187,7260,0.33,25.0,0.58,9
17188,7261,0.33,25.0,0.58,9
17191,7262,0.33,25.0,0.58,9
17194,7263,0.33,25.0,0.58,9
17195,7264,0.33,25.0,0.58,9
17197,7265,0.34,24.0,0.58,9
17199,7266,0.33,25.0,0.58,9
17201,7267,0.33,25.0,0.58,9
17204,7268,0.32,26.0,0.58,9
17206,7269,0.32,26.0,0.58,9
17209,7270,0.32,26.0,0.58,9
17210,7271,0.33,25.0,0.58,9
17212,7272,0.33,25.0,0.58,9
17213,7273,0.33,25.0,0.58,9
17215,7274,0.32,26.0,0.58,9
17218,7275,0.32,26.0,0.58,9
17220,7276,0.32,26.0,0.58,9
17222,7277,0.32,26.0,0.58,9
17223,7278,0.33,25.0,0.58,9
17224,7279,0.34,24.0,0.58,9
17227,7280,0.34,24.0,0.58,9
17229,7281,0.33,25.0,0.58,9
17232,7282,0.33,25.0,0.58,9
17233,7283,0.34,24.0,0.58,9
17234,7284,0.34,24.0,0.58,9
17236,7285,0.34,24.0,0.58,9
17239,7286,0.33,25.0,0.58,9
17240,7287,0.34,24.0,0.58,9
17242,7288,0.35,23.0,0.58,9
17244,7289,0.35,23.0,0.58,9
17247,7290,0.35,23.0,0.58,9
17251,7291,0.36,22.0,0.58,9
17253,7292,0.36,22.0,0.58,9
17256,7293,0.37,21.0,0.58,9
17261,7294,0.37,21.0,0.58,9
17263,7295,0.36,22.0,0.58,9
17265,7296,0.35,23.0,0.58,9
17266,7297,0.34,24.0,0.58,9
17269,7298,0.34,24.0,0.58,9
17270,7299,0.34,24.0,0.58,9
17272,7300,0.33,25.0,0.58,9
17273,7301,0.33,25.0,0.58,9
17276,7302,0.33,25.0,0.58,9
17278,7303,0.33,25.0,0.58,9
17280,7304,0.33,25.0,0.58,9
17283,7305,0.32,26.0,0.58,9
17285,7306,0.32,26.0,0.58,9
17286,7307,0.32,26.0,0.58,9
17288,7308,0.31,27.0,0.58,9
17290,7309,0.31,27.0,0.58,9
17291,7310,0.3,28.0,0.58,9
17292,7311,0.3,28.0,0.58,9
17296,7312,0.29,29.0,0.58,9
17298,7313,0.29,29.0,0.58,9
17300,7314,0.29,29.0,0.58,9
17303,7315,0.3,28.0,0.58,9
17305,7316,0.31,27.0,0.58,9
17308,7317,0.3,28.0,0.58,9
17310,7318,0.3,28.0,0.58,9
17315,7319,0.3,28.0,0.58,9
17317,7320,0.31,27.0,0.58,9
17319,7321,0.31,27.0,0.58,9
17320,7322,0.31,27.0,0.58,9
17322,7323,0.3,28.0,0.58,9
17324,7324,0.3,28.0,0.58,9
17326,7325,0.3,28.0,0.58,9
17327,7326,0.3,28.0,0.58,9
17328,7327,0.3,28.0,0.58,9
17329,7328,0.29,29.0,0.58,9
17330,7329,0.29,29.0,0.58,9
17332,7330,0.29,29.0,0.58,9
17333,7331,0.29,29.0,0.58,9
17336,7332,0.29,29.0,0.58,9
17337,7333,0.28,30.0,0.58,9
17342,7334,0.28,30.0,0.58,9
17345,7335,0.29,29.0,0.58,9
17348,7336,0.29,29.0,0.58,9
17349,7337,0.3,28.0,0.58,9
17352,7338,0.3,28.0,0.58,9
17355,7339,0.3,28.0,0.58,9
17357,7340,0.3,28.0,0.58,9
17358,7341,0.29,29.0,0.58,9
17359,7342,0.3,28.0,0.58,9
17361,7343,0.31,27.0,0.58,9
17364,7344,0.31,27.0,0.58,9
17369,7345,0.31,27.0,0.58,9
17373,7346,0.3,28.0,0.58,9
17375,7347,0.29,29.0,0.58,9
17376,7348,0.29,29.0,0.58,9
17378,7349,0.29,29.0,0.58,9
17379,7350,0.29,29.0,0.58,9
17381,7351,0.29,29.0,0.58,9
17386,7352,0.29,29.0,0.58,9
17387,7353,0.29,29.0,0.58,9
17392,7354,0.28,30.0,0.58,9
17396,7355,0.28,30.0,0.58,9
17398,7356,0.28,30.0,0.58,9
17400,7357,0.29,29.0,0.58,9
17402,7358,0.3,28.0,0.58,9
17404,7359,0.3,28.0,0.58,9
17406,7360,0.3,28.0,0.58,9
17409,7361,0.29,29.0,0.58,9
17411,7362,0.3,28.0,0.58,9
17412,7363,0.3,28.0,0.58,9
17414,7364,0.3,28.0,0.58,9
17415,7365,0.29,29.0,0.58,9
17416,7366,0.29,29.0,0.58,9
17418,7367,0.29,29.0,0.58,9
17419,7368,0.29,29.0,0.58,9
17420,7369,0.29,29.0,0.58,9
17423,7370,0.29,29.0,0.58,9
17424,7371,0.29,29.0,0.58,9
17425,7372,0.29,29.0,0.58,9
17428,7373,0.29,29.0,0.58,9
17429,7374,0.3,28.0,0.58,9
17435,7375,0.31,27.0,0.58,9
17436,7376,0.3,28.0,0.58,9
17437,7377,0.31,27.0,0.58,9
17439,7378,0.3,28.0,0.58,9
17440,7379,0.3,28.0,0.58,9
17441,7380,0.3,28.0,0.58,9
17442,7381,0.3,28.0,0.58,9
17444,7382,0.29,29.0,0.58,9
17445,7383,0.29,29.0,0.58,9
17447,7384,0.29,29.0,0.58,9
17452,7385,0.3,28.0,0.58,9
17455,7386,0.3,28.0,0.58,9
17458,7387,0.29,29.0,0.58,9
17460,7388,0.29,29.0,0.58,9
17463,7389,0.29,29.0,0.58,9
17469,7390,0.3,28.0,0.58,9
17471,7391,0.3,28.0,0.58,9
17477,7392,0.3,28.0,0.58,9
17478,7393,0.29,29.0,0.58,9
17480,7394,0.28,30.0,0.58,9
17481,7395,0.28,30.0,0.58,9
17482,7396,0.28,30.0,0.58,9
17485,7397,0.29,29.0,0.58,9
17487,7398,0.3,28.0,0.58,9
17488,7399,0.31,27.0,0.58,9
17493,7400,0.31,27.0,0.58,9
17496,7401,0.31,27.0,0.58,9
17498,7402,0.32,26.0,0.58,9
17500,7403,0.32,26.0,0.58,9
17501,7404,0.32,26.0,0.58,9
17505,7405,0.33,25.0,0.58,9
17507,7406,0.34,24.0,0.58,9
17509,7407,0.35,23.0,0.58,9
17514,7408,0.35,23.0,0.58,9
17515,7409,0.34,24.0,0.58,9
17517,7410,0.34,24.0,0.58,9
17519,7411,0.34,24.0,0.58,9
17521,7412,0.34,24.0,0.58,9
17528,7413,0.35,23.0,0.58,9
17529,7414,0.34,24.0,0.58,9
17530,7415,0.34,24.0,0.58,9
17532,7416,0.33,25.0,0.58,9
17537,7417,0.33,25.0,0.58,9
17539,7418,0.33,25.0,0.58,9
17540,7419,0.34,24.0,0.58,9
17541,7420,0.33,25.0,0.58,9
17543,7421,0.34,24.0,0.58,9
17546,7422,0.33,25.0,0.58,9
17547,7423,0.33,25.0,0.58,9
17551,7424,0.33,25.0,0.58,9
17554,7425,0.33,25.0,0.58,9
17556,7426,0.34,24.0,0.58,9
17557,7427,0.35,23.0,0.58,9
17561,7428,0.36,22.0,0.58,9
17563,7429,0.36,22.0,0.58,9
17566,7430,0.37,21.0,0.58,9
17567,7431,0.37,21.0,0.58,9
17569,7432,0.37,21.0,0.58,9
17571,7433,0.37,21.0,0.58,9
17575,7435,0.37,21.0,0.58,9
17582,7437,0.37,21.0,0.58,9
17583,7438,0.37,21.0,0.58,9
17584,7439,0.37,21.0,0.58,9
17585,7440,0.36,22.0,0.58,9
17586,7441,0.36,22.0,0.58,9
